Continent;Region/Country;Product;Variable;Year;Unit;Quantity
Global;Global;Fresh Grapes;Production;2018;tonnes;80 584 300
Global;Global;Fresh Grapes;Production;2022;tonnes;79 412 171
Global;Global;Fresh Grapes;Production;2015;tonnes;77 167 667
Global;Global;Fresh Grapes;Production;2013;tonnes;76 739 805
Global;Global;Fresh Grapes;Production;2021;tonnes;76 544 496
Global;Global;Fresh Grapes;Production;2019;tonnes;76 307 605
Global;Global;Fresh Grapes;Production;2020;tonnes;76 174 743
Global;Global;Fresh Grapes;Production;2016;tonnes;75 395 727
Global;Global;Fresh Grapes;Production;2014;tonnes;73 634 310
Global;Global;Fresh Grapes;Production;2017;tonnes;73 401 321
Global;Global;Fresh Grapes;Production;2012;tonnes;69 282 780
Global;Global;Fresh Grapes;Production;2011;tonnes;68 927 183
Global;Global;Fresh Grapes;Production;2004;tonnes;67 612 013
Global;Global;Fresh Grapes;Production;2009;tonnes;67 608 201
Global;Global;Fresh Grapes;Production;2006;tonnes;67 157 388
Global;Global;Fresh Grapes;Production;2005;tonnes;67 076 026
Global;Global;Fresh Grapes;Production;2010;tonnes;66 970 651
Global;Global;Fresh Grapes;Production;2008;tonnes;66 940 497
Global;Global;Fresh Grapes;Production;2007;tonnes;66 699 463
Global;Global;Fresh Grapes;Production;2000;tonnes;64 076 587
Global;Global;Fresh Grapes;Production;2003;tonnes;62 922 164
Global;Global;Fresh Grapes;Production;2002;tonnes;61 052 326
Global;Global;Fresh Grapes;Production;2001;tonnes;60 638 650
Global;Global;Fresh Grapes;Production;1999;tonnes;59 974 976
Global;Global;Fresh Grapes;Production;1996;tonnes;58 709 426
Global;Global;Fresh Grapes;Production;1997;tonnes;58 054 114
Global;Global;Fresh Grapes;Production;1998;tonnes;56 666 111
Global;Global;Fresh Grapes;Production;1995;tonnes;55 417 268
Global;Global;Table Grapes;Consumption;2022;tonnes;32 594 237
Global;Global;Table Grapes;Consumption;2021;tonnes;32 329 908
Global;Global;Table Grapes;Production;2022;tonnes;31 507 387
Global;Global;Table Grapes;Consumption;2020;tonnes;30 973 505
Global;Global;Table Grapes;Production;2021;tonnes;30 556 399
Global;Global;Table Grapes;Production;2020;tonnes;29 892 668
Global;Global;Table Grapes;Consumption;2019;tonnes;29 818 154
Global;Global;Table Grapes;Consumption;2017;tonnes;29 385 741
Global;Global;Table Grapes;Production;2019;tonnes;28 901 425
Global;Global;Table Grapes;Production;2017;tonnes;28 371 646
Global;Global;Table Grapes;Production;2015;tonnes;28 195 236
Global;Global;Table Grapes;Consumption;2018;tonnes;28 037 964
Global;Global;Table Grapes;Consumption;2016;tonnes;27 763 280
Global;Global;Table Grapes;Consumption;2015;tonnes;27 575 450
Global;Global;Table Grapes;Production;2016;tonnes;27 490 684
Global;Global;Table Grapes;Production;2018;tonnes;27 302 640
Global;Global;Table Grapes;Production;2014;tonnes;27 095 974
Global;Global;Table Grapes;Consumption;2014;tonnes;26 967 517
Global;Global;Table Grapes;Production;2013;tonnes;25 981 531
Global;Global;Table Grapes;Consumption;2013;tonnes;25 357 000
Global;Global;Table Grapes;Production;2012;tonnes;23 903 573
Global;Global;Table Grapes;Consumption;2012;tonnes;23 289 589
Global;Global;Table Grapes;Production;2011;tonnes;21 632 057
Global;Global;Table Grapes;Consumption;2011;tonnes;21 424 225
Global;Global;Table Grapes;Production;2010;tonnes;20 694 376
Global;Global;Table Grapes;Consumption;2010;tonnes;20 458 552
