Países,Quantidade_(Kg),Valor_(US$)
Alemanha-República_Democrática,7.630,45.367
Angola,4.068,4.761
Antígua_e_Barbuda,419,1.866
Argentina,480,3.232
Austrália,1.424,12.299
Áustria,6,212
Bahamas,1.215,5.799
Bangladesh,7,84
Barbados,220,1.145
Barein,979,2.789
Bélgica,828,6.145
Bolívia,32.530,49.011
Brasil,2.504,952
Bulgária,5,31
Canadá,1.183,5.784
Cayman-Ilhas,160,958
Chile,2.094,7.986
China,105.395,404.647
Chipre,1.521,4.458
Cocos_(Keeling)-Ilhas,26,60
Colômbia,8.217,14.068
Coreia-Republica_Sul,77,257
Croácia,34,484
Cuba,16,6
Curaçao,40.673,66.950
Dinamarca,2,6
Dominica,1.485,2.223
Emirados_Arabes_Unidos,4.781,85.465
Equador,135,210
Estados_Unidos,220.373,447.893
Filipinas,375,790
França,5.694,25.008
Gana,35.949,49.304
Granada,5.610,7.914
Grécia,920,2.426
Guatemala,1.283,5.350
Guiana,2.064,5.823
Guiana_Francesa,22,18
Haiti,553.503,741.014
Hong_Kong,9.371,38.218
Ilha_de_Man,165,641
India,247,1.021
Irã,47,90
Itália,1.129,6.151
Japão,37.324,82.208
Libéria,9.145,34.815
Luxemburgo,36,802
Malta,3.127,15.587
Marshall-Ilhas,7.240,27.178
México,6,33
Moçambique,383,1.927
Nigéria,32.234,50.283
Noruega,2.711,40.316
Nova_Zelândia,63,156
Omã,194,670
Países_Baixos,7.034,37.240
Panamá,11.490,49.392
Paraguai,5.076.670,7.156.293
Portugal,1.918,7.613
Quênia,1.440,2.080
Reino_Unido,18.835,138.154
Rússia,66.046,118.618
São_Vicente_e_Granadinas,20,51
Serra_Leoa,8.101,15.182
Singapura,4.322,15.434
Suécia,5,18
Suíça,1.584,20.863
Suriname,1.225,3.360
Tailândia,432,1.713
Taiwan-(FORMOSA),25,277
Tcheca-República,1.305,9.997
Togo,17.317,25.608
Turquia,418,503
Uruguai,637.117,997.367
Venezuela,23.220,32.351
Vietnã,130,277
Total,7.025.983,10.945.282
