Unidade_Federativa;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Rondônia;25;29;34;33;20;25;27;27;25;27;27;25;30;30;26;17;11
Tocantins;4;4;4;4;0;0;0;0;0;0;0;1;1;1;1;1;1
Maranhão;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0
Piauí;2;0;6;10;12;11;10;10;9;7;10;10;8;1;5;4;2
Ceará;67;91;87;86;219;75;44;45;25;38;36;36;21;23;26;19;23
Rio Grande do Norte;0;0;0;0;0;0;0;0;0;0;2;2;3;3;2;2;8
Paraíba;110;110;110;110;90;112;102;102;202;122;132;132;132;132;130;130;110
Pernambuco;5111;5673;5864;6003;6964;6822;6763;6787;6797;6814;6974;8237;8745;8806;8298;8838;7967
Bahia;3938;4096;4217;3724;3273;2718;2484;2357;2862;2861;2858;1960;1962;1926;2043;2486;2564
Minas Gerais;892;840;869;812;755;753;767;828;784;856;830;889;1088;1213;1223;1299;1266
Espírito Santo;34;50;50;53;72;89;115;128;138;148;154;196;198;188;212;197;199
Rio de Janeiro;0;4;5;5;6;7;7;8;10;7;16;17;17;20;19;20;27
São Paulo;10414;11112;10565;11216;10001;10657;10716;8812;8040;7803;7694;7348;7238;8023;8018;8617;8461
Paraná;5657;5700;5800;5800;5969;6064;5823;5276;4681;4459;4301;3886;3946;3618;3646;3579;3507
Santa Catarina;4510;4915;4836;4934;5082;4985;4997;4963;4897;4843;4684;4426;4015;3951;3939;3911;3873
Rio Grande do Sul;44298;45336;47177;48259;48747;49197;49900;49783;49995;49733;49172;48373;46857;46454;45945;46295;46531
Mato Grosso do Sul;47;37;31;21;20;13;11;10;16;13;9;7;6;6;5;5;6
Mato Grosso;151;138;126;113;87;67;63;58;57;51;56;50;53;53;52;52;52
Goiás;84;108;122;121;142;176;166;214;150;150;146;71;100;106;80;93;133
Distrito Federal;10;30;43;51;58;60;68;75;77;79;63;68;57;57;57;57;57
