Unidade_Federativa;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Rondônia;25;29;34;33;20;25;27;27;25;27;27;25;30;30;26;17;11
Tocantins;4;4;4;4;0;0;0;0;0;0;0;1;1;1;1;1;1
Piauí;2;0;6;10;12;11;10;10;9;7;10;10;8;1;5;4;2
Ceará;67;91;93;92;219;75;44;45;25;38;36;36;21;23;26;19;23
Rio Grande do Norte;0;0;0;0;0;0;0;0;0;0;2;2;3;3;2;2;8
Paraíba;110;110;110;110;90;112;102;102;202;122;132;132;132;132;130;130;110
Pernambuco;5111;5673;6973;6003;6964;6822;6763;6787;6797;6814;6974;8437;8745;8806;8763;8838;9237
Bahia;3938;4096;4376;3724;3273;2718;2484;2357;2862;2861;2858;1961;1962;1926;2043;2486;2564
Minas Gerais;893;840;874;812;755;753;767;828;784;856;830;895;1088;1213;1223;1299;1266
Espírito Santo;34;50;50;53;72;89;115;128;138;148;154;196;198;188;212;198;201
Rio de Janeiro;0;4;5;5;6;7;7;8;10;7;16;17;17;20;19;20;27
São Paulo;10414;11112;10565;11259;10004;10657;11269;8812;8040;7803;7699;7348;7238;8023;8019;8639;8462
Paraná;5657;5700;5800;5800;5969;6064;5824;5276;4681;4465;4324;3888;3946;3638;3646;3583;3513
Santa Catarina;4512;4915;4836;5168;5082;4985;4997;4965;4897;4846;4737;4426;4016;3955;3942;3937;3895
Rio Grande do Sul;44298;45379;47206;48259;48753;49198;50180;50056;50007;49739;49226;48397;46858;46671;46174;46350;46533
Mato Grosso do Sul;47;39;31;21;20;13;11;11;18;13;9;8;7;6;5;5;6
Mato Grosso;151;138;146;133;87;67;63;58;57;51;56;50;53;53;52;52;52
Goiás;84;108;127;126;142;176;166;214;150;150;146;71;100;106;91;93;133
Distrito Federal;38;37;50;65;65;60;68;75;77;79;63;68;57;57;57;57;57
