Unidade_Federativa;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Rondônia;242;224;260;229;143;176;202;198;185;197;201;187;218;218;197;124;76
Tocantins;72;72;72;72;0;0;0;0;0;0;0;1;12;12;12;10;3
Piauí;52;0;120;180;288;146;324;320;252;168;240;240;51;24;120;96;24
Ceará;2172;2381;2624;2908;6650;1770;767;664;573;940;760;708;422;564;763;521;583
Rio Grande do Norte;0;0;0;0;0;0;0;0;0;0;30;30;42;42;30;30;84
Paraíba;1980;1980;1980;1980;1620;2016;1836;1836;4036;2196;2636;2620;2630;2624;2600;2600;2200
Pernambuco;155781;170325;165075;158517;195168;208660;224758;228727;236719;237367;368441;449383;426392;456080;349757;420501;338206
Bahia;117111;119610;97481;90508;78283;65176;62292;52778;77504;77408;77322;56504;60524;71939;55872;70788;75664
Minas Gerais;12318;11995;13711;11773;10113;9873;10831;12725;11557;12615;11224;13685;15800;17424;18780;19908;18656
Espírito Santo;522;1004;1061;1166;1636;1344;1810;1999;2226;2327;2509;3468;3194;2727;3217;3158;3205
Rio de Janeiro;0;40;50;50;82;118;128;142;145;101;258;302;169;168;180;125;71
São Paulo;195357;198123;193534;185123;190486;217290;214684;166602;153822;142631;140613;133261;138055;149064;149803;168729;164131
Paraná;95357;99180;101500;102080;103394;83948;78614;88402;78979;69035;55546;56528;57039;53689;54200;46019;51587
Santa Catarina;47355;54603;58330;67543;66251;67321;71019;69503;68743;69118;33267;65196;58261;58975;60378;59721;56560
Rio Grande do Sul;623878;704176;776964;737363;694518;830286;840251;807693;812517;876215;413735;956887;823698;667239;735342;951254;734982
Mato Grosso do Sul;502;417;460;286;267;186;134;98;186;105;97;78;55;72;59;57;63
Mato Grosso;1805;1832;1672;1505;1491;1233;1188;1144;1370;981;1351;1002;1297;1304;1287;1290;1288
Goiás;2398;5059;5619;3172;3762;4469;4570;4859;3524;4008;3729;1650;2747;2216;1516;1850;1997
Distrito Federal;162;534;918;1036;1289;1308;1360;1845;1845;1890;1386;1700;1425;1425;1425;1425;1425
