Unidade_Federativa;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Rondônia;9680;7724;7647;6939;7150;7040;7481;7333;7400;7296;7444;7480;7267;7267;7577;7294;6909
Tocantins;18000;18000;18000;18000;0;0;0;0;0;0;0;1000;12000;12000;12000;10000;3000
Piauí;26000;0;20000;18000;24000;13273;32400;32000;28000;24000;24000;24000;6375;24000;24000;24000;12000
Ceará;32417;26164;30160;33813;30365;23600;17432;14756;22920;24737;21111;19667;20095;24522;29346;27421;25348
Paraíba;18000;18000;18000;18000;18000;18000;18000;18000;19980;18000;19970;19848;19924;19879;20000;20000;20000
Pernambuco;30479;30023;28150;26406;28025;30586;33233;33701;34827;34835;52831;54557;48758;51792;42150;47579;42451
Bahia;29738;29201;23116;24303;23917;23979;25077;22392;27080;27056;27055;28829;30848;37352;27348;28475;29510
Minas Gerais;13809;14279;15777;14498;13394;13112;14121;15368;14741;14737;13523;15394;14522;14364;15356;15326;14736
Espírito Santo;15352;20080;21220;22000;22722;15101;15739;15617;16130;15723;16292;17694;16131;14505;15175;16030;16106
Rio de Janeiro;0;10000;10000;10000;13666;16857;18286;17750;14500;14429;16125;17765;9941;8400;9474;6250;2630
São Paulo;18759;17829;18318;16505;19046;20389;20034;18906;19132;18279;18276;18136;19074;18580;18683;19581;19399
Paraná;16856;17400;17500;17600;17321;13844;13501;16755;16872;15482;12915;14547;14455;14839;14866;12858;14710
Santa Catarina;10500;11109;12061;13689;13036;13505;14212;14004;14038;14272;7102;14730;14511;14927;15328;15270;14604
Rio Grande do Sul;14083;15532;16469;15279;14247;16877;16839;16224;16252;17618;8414;19781;17579;14363;16005;20548;15796
Mato Grosso do Sul;10680;11270;14838;13619;13350;14308;12182;9800;11625;8077;10778;11143;9167;12000;11800;11400;10500
Mato Grosso;11953;13275;13269;13318;17137;18403;18857;19724;24035;19235;24125;20040;24472;24604;24750;24808;24769
Goiás;28547;46842;46057;26214;26492;25392;27530;22706;23493;26720;25541;23239;27470;20906;18950;19892;15015
Distrito Federal;16200;17800;21348;20313;22224;21800;20000;24600;23961;23924;22000;25000;25000;25000;25000;25000;25000
